Date,c1,c2,A,B,switch,c1_ret,c2_ret,rollex_ret,rollex_px
2023-04-21,194.2,191.45,0,1,0,-0.008677896886166492,-0.01263537906137191,-0.01263537906137191,155.31216380650568
2023-04-24,196.75,193.45,0,1,0,0.013130792996910445,0.01044659179942542,0.01044659179942542,156.93464658327773
2023-04-25,192.45,188.4,0,1,0,-0.02185514612452355,-0.026104936676143664,-0.026104936676143664,152.8378775719283
2023-04-26,195.85,191.6,0,1,0,0.01766692647440893,0.01698513800424628,0.01698513800424628,155.43385001476358
2023-04-27,192.1,188.2,0,1,0,-0.019147306612203208,-0.017745302713987554,-0.017745302713987554,152.67562929425105
2023-04-28,189.85,185.95,0,1,0,-0.011712649661634544,-0.011955366631243414,-0.011955366631243414,150.85033617038246
2023-05-01,189.25,185.6,0,1,0,-0.003160389781406314,-0.0018822264049475068,-0.0018822264049475068,150.56640168444738
2023-05-02,190.65,186.75,0,1,0,0.00739762219286666,0.006196120689655249,0.006196120689655249,151.49932928109132
2023-05-03,189.2,185.5,0,1,0,-0.007605559926567085,-0.00669344042838016,-0.00669344042838016,150.48527754560877
2023-05-04,186.4,182.95,0,1,0,-0.014799154334038,-0.013746630727762832,-0.013746630727762832,148.4166120052244
2023-05-05,191.0,188.05,0,1,0,0.02467811158798283,0.027876468980595925,0.027876468980595925,152.55394308599318
2023-05-08,186.9,183.95,0,1,0,-0.021465968586387385,-0.021802712044669104,-0.021802712044669104,149.22785339361045
2023-05-09,188.0,186.5,0,1,0,0.005885500267522659,0.013862462625713556,0.013862462625713556,151.29651893399483
2023-05-10,187.45,185.95,0,1,0,-0.002925531914893642,-0.002949061662198438,-0.002949061662198438,150.8503361703825
2023-05-11,185.8,183.0,0,1,0,-0.008802347292611201,-0.015864479698843748,-0.015864479698843748,148.4571740746437
2023-05-12,186.0,182.85,0,1,0,0.0010764262648008671,-0.0008196721311475308,-0.0008196721311475308,148.3354878663858
2023-05-15,193.05,189.4,0,1,0,0.03790322580645178,0.03582171178561677,0.03582171178561677,153.64911896031433
2023-05-16,190.35,186.8,0,1,0,-0.013986013986014068,-0.01372756071805703,-0.01372756071805703,151.53989135051066
2023-05-17,189.85,186.05,0,1,0,-0.0026267402153926644,-0.004014989293361859,-0.004014989293361859,150.93146030922114
2023-05-18,190.45,186.65,0,1,1,0.003160389781406314,0.003224939532383786,0.003224939532383786,151.41820514225276
2023-05-19,192.0,189.3,1,0,0,0.008138619060120922,0.014197696222877143,0.02866327350656306,155.758346570118
2023-05-22,189.2,186.9,1,0,0,-0.014583333333333393,-0.01267828843106189,-0.014583333333333393,153.4868706826371
2023-05-23,187.45,185.2,1,0,0,-0.00924947145877375,-0.009095773140717078,-0.00924947145877375,152.06719825296153
2023-05-24,188.0,185.75,1,0,0,0.0029341157642037707,0.002969762419006594,0.0029341157642037707,152.51338101657385
